,住宿场所名称,省份,城市,商圈,星级,是否为客栈,房间数,评分,评论数,城市平均实住间夜,酒店总订单,酒店总间夜,酒店实住订单,酒店实住间夜,酒店直销订单,酒店直销间夜,酒店直销实住订单,酒店直销实住间夜,酒店直销拒单,酒店直销拒单率,城市直销订单,城市直销拒单率
26,阿坝漳扎九寨阳光酒店,四川,阿坝,漳扎镇,四星级/高档,OTA,258,3.2130301,17,34.06,4,8,3,6,1,1,1,1,0,0.0,34147.0,0.079
27,阿坝九寨沟藏宫阁酒店,四川,阿坝,漳扎镇,二星及其他,低星,98,4.354430199,8,34.06,23,38,15,21,14,24,11,15,1,0.0714,34147.0,0.079
28,阿坝松潘川主寺阳光酒店,四川,阿坝,黄龙机场、川主寺,三星级/舒适,低星,88,4.402180195,6,34.06,2,3,2,3,2,3,2,3,0,0.0,34147.0,0.079
29,川主国际饭店,四川,阿坝,黄龙机场、川主寺,四星级/高档,OTA,128,4.105559826,354,34.06,35,64,29,56,1,1,1,1,0,0.0,34147.0,0.079
30,阿坝交通宾馆,四川,阿坝,松潘古城,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
31,登巴国际连锁客栈松潘店,四川,阿坝,松潘古城,经济型,客栈,16,4.528999805,179,34.06,68,99,52,78,63,93,50,75,1,0.0159,34147.0,0.079
32,九寨沟星宇国际大酒店,四川,阿坝,九寨沟沟口,五星级/豪华,OTA,193,4.439929962,296,34.06,121,295,66,142,1,1,1,1,0,0.0,34147.0,0.079
33,九寨沟九宫宾馆,四川,阿坝,,四星级/高档,OTA,224,4.584440231,15,34.06,43,95,27,62,1,1,1,1,0,0.0,34147.0,0.079
34,九寨沟华缘山庄,四川,阿坝,九寨沟沟口,二星及其他,低星,128,3.603359938,7,34.06,2,11,1,1,2,11,1,1,2,1.0,34147.0,0.079
35,九寨沟金珠林卡度假酒店,四川,阿坝,漳扎镇,三星级/舒适,低星,168,3.976840019,129,34.06,17,41,11,22,1,1,1,1,0,0.0,34147.0,0.079
36,黄龙国际大酒店,四川,阿坝,松潘古城,二星及其他,低星,155,1.980209947,6,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
37,九寨沟聚峰山庄,四川,阿坝,漳扎镇,二星及其他,低星,143,2.185790062,2,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
38,九寨沟枫叶美食酒店,四川,阿坝,漳扎镇,二星及其他,低星,94,2.552249908,4,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
39,九寨天堂甲蕃古城假日酒店,四川,阿坝,甘海子漳扎镇,四星级/高档,OTA,606,4.497910023,999,34.06,27,74,12,30,1,1,1,1,0,0.0,34147.0,0.079
40,九寨沟悠游度假连锁酒店,四川,阿坝,漳扎镇,四星级/高档,OTA,30,3.648570061,26,34.06,6,12,1,2,1,1,1,1,0,0.0,34147.0,0.079
41,九寨沟九龙宾馆,四川,阿坝,漳扎镇,四星级/高档,OTA,176,4.460549831,239,34.06,107,244,68,164,1,1,1,1,0,0.0,34147.0,0.079
42,九寨沟金龙国际度假酒店,四川,阿坝,漳扎镇,五星级/豪华,OTA,314,4.517950058,31,34.06,91,229,59,142,1,1,1,1,0,0.0,34147.0,0.079
43,九寨沟九寨度假村,四川,阿坝,九寨沟沟口,四星级/高档,OTA,187,4.662220001,1593,34.06,603,1355,440,986,1,1,1,1,0,0.0,34147.0,0.079
44,阿坝九寨大酒店,四川,阿坝,九寨沟沟口漳扎镇,二星及其他,低星,70,4.0,333,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
45,九寨沟县九粮宾馆,四川,阿坝,九寨沟县城,二星及其他,低星,67,3.261389971,23,34.06,22,37,16,30,12,18,9,14,0,0.0,34147.0,0.079
46,九寨天堂洲际大饭店,四川,阿坝,甘海子漳扎镇,五星级/豪华,OTA,1020,4.561769962,3328,34.06,328,669,183,355,1,1,1,1,0,0.0,34147.0,0.079
47,九寨沟雪莲大酒店,四川,阿坝,九寨沟县城,二星及其他,低星,45,3.099999905,10,34.06,6,6,1,1,5,5,1,1,1,0.2,34147.0,0.079
48,九寨沟悠阳驿站,四川,阿坝,九寨沟沟口,二星及其他,低星,32,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
49,九寨沟喜来登国际大酒店,四川,阿坝,九寨沟沟口,五星级/豪华,OTA,482,4.20457983,1236,34.06,178,367,91,191,1,1,1,1,0,0.0,34147.0,0.079
50,九寨沟三喜宾馆,四川,阿坝,九寨沟沟口漳扎镇,二星及其他,低星,60,4.350719929,1280,34.06,123,221,87,148,71,130,49,88,0,0.0,34147.0,0.079
51,九寨沟南坪宾馆,四川,阿坝,九寨沟县城,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
52,九寨沟青年旅舍雪山人家,四川,阿坝,漳扎镇,二星及其他,客栈,60,3.735059977,11,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
53,九寨沟九寨之旅大酒店,四川,阿坝,九寨沟沟口,三星级/舒适,低星,168,3.942759991,65,34.06,27,43,12,19,15,30,8,15,0,0.0,34147.0,0.079
54,阿坝九寨沟长海宾馆,四川,阿坝,,二星及其他,低星,53,3.644469976,77,34.06,11,14,5,7,6,9,3,5,1,0.1667,34147.0,0.079
55,九寨沟黄浦大酒店,四川,阿坝,九寨沟县城,四星级/高档,OTA,96,4.328829765,143,34.06,17,35,9,21,1,1,1,1,0,0.0,34147.0,0.079
56,九寨沟万家豪酒店,四川,阿坝,九寨沟县城,四星级/高档,OTA,97,4.430049896,303,34.06,40,69,30,52,1,1,1,1,0,0.0,34147.0,0.079
57,九寨黄龙富贵林大酒店,四川,阿坝,黄龙机场、川主寺,二星及其他,低星,210,4.111529827,3,34.06,5,8,1,1,5,8,1,1,2,0.4,34147.0,0.079
58,松潘川龙山庄,四川,阿坝,黄龙机场、川主寺,三星级/舒适,低星,70,3.181819916,2,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
59,九寨沟千鹤国际大酒店,四川,阿坝,九寨沟沟口,四星级/高档,OTA,251,4.626329899,1143,34.06,273,575,176,377,1,1,1,1,0,0.0,34147.0,0.079
60,九寨沟仙池度假酒店,四川,阿坝,漳扎镇,三星级/舒适,低星,102,3.384690046,88,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
61,九寨沟县祥云酒店,四川,阿坝,九寨沟县城,二星及其他,低星,40,2.926359892,15,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
62,九寨沟蜀电宾馆,四川,阿坝,漳扎镇,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
63,松潘古城人家,四川,阿坝,松潘古城,二星及其他,客栈,20,3.53553009,0,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
64,九寨沟鑫隆酒店,四川,阿坝,漳扎镇,三星级/舒适,低星,150,2.663480043,15,34.06,2,2,2,2,2,2,2,2,0,0.0,34147.0,0.079
65,九寨沟福鑫酒店,四川,阿坝,九寨沟沟口,二星及其他,低星,59,3.201299906,6,34.06,2,2,1,1,1,1,1,1,0,0.0,34147.0,0.079
66,九寨沟龙达商务酒店,四川,阿坝,漳扎镇,二星及其他,低星,20,3.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
67,九寨沟卓玛小屋,四川,阿坝,漳扎镇,二星及其他,客栈,15,4.827990055,25,34.06,29,42,11,16,14,21,6,9,3,0.2143,34147.0,0.079
68,九寨沟龙康雪域天居,四川,阿坝,九寨沟沟口,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
69,九寨沟佳城山庄,四川,阿坝,九寨沟沟口,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
70,阿坝草根人家旅舍九峰店,四川,阿坝,漳扎镇,二星及其他,客栈,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
71,九寨沟九寨人家青年旅舍,四川,阿坝,漳扎镇,二星及其他,客栈,50,4.079800129,58,34.06,2,3,1,1,2,3,1,1,1,0.5,34147.0,0.079
72,阿坝红原宾馆,四川,阿坝,毕棚沟,二星及其他,低星,20,3.739650011,1,34.06,5,7,1,1,1,1,1,1,0,0.0,34147.0,0.079
73,九寨沟佳鑫青年旅社,四川,阿坝,九寨沟沟口漳扎镇,二星及其他,低星,60,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
74,九寨沟友约酒店,四川,阿坝,漳扎镇,二星及其他,低星,175,1.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
75,九寨沟九通阳光大酒店,四川,阿坝,九寨沟沟口,三星级/舒适,低星,127,4.023719788,686,34.06,132,223,91,164,71,113,56,92,6,0.0845,34147.0,0.079
76,九寨沟绿野青年客栈,四川,阿坝,漳扎镇,二星及其他,客栈,12,4.025420189,120,34.06,8,10,4,5,1,1,1,1,0,0.0,34147.0,0.079
77,九寨沟上磨金熙酒店,四川,阿坝,黄龙机场、川主寺,四星级/高档,OTA,78,4.367909908,508,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
78,九寨沟阿克才让客栈,四川,阿坝,,二星及其他,客栈,9,4.591100216,98,34.06,18,44,7,28,14,30,6,20,0,0.0,34147.0,0.079
79,九寨沟丰乐酒店,四川,阿坝,九寨沟县城,二星及其他,低星,20,3.952850103,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
80,九寨沟田园度假酒店,四川,阿坝,毕棚沟,二星及其他,低星,235,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
81,九寨沟藏王宴舞假日酒店,四川,阿坝,九寨沟沟口,四星级/高档,OTA,116,4.311890125,690,34.06,176,368,138,254,70,123,63,111,2,0.0286,34147.0,0.079
82,九寨沟凯瑞假日酒店,四川,阿坝,九寨沟沟口,二星及其他,低星,72,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
83,黑水迎宾宾馆,四川,阿坝,毕棚沟,二星及其他,低星,58,4.307690144,38,34.06,98,178,74,131,83,149,64,117,3,0.0361,34147.0,0.079
84,黑水冰川大酒店,四川,阿坝,毕棚沟,二星及其他,低星,123,4.186049938,99,34.06,36,65,16,28,27,55,16,28,4,0.1481,34147.0,0.079
85,阿坝州迎宾馆,四川,阿坝,九寨沟沟口,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
86,阿坝茂县宾馆,四川,阿坝,坪头羌寨,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
87,阿坝壤巴拉宾馆,四川,阿坝,毕棚沟,二星及其他,低星,80,3.411760092,4,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
88,阿坝古尔沟温泉山庄,四川,阿坝,古尔沟,三星级/舒适,低星,80,3.292730093,94,34.06,30,76,13,25,8,16,3,7,5,0.625,34147.0,0.079
89,阿坝鑫茂宾馆,四川,阿坝,坪头羌寨,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
90,汶川新国旅大酒店,四川,阿坝,毕棚沟,二星及其他,低星,76,3.852010012,53,34.06,27,35,19,23,27,35,19,23,1,0.037,34147.0,0.079
91,阿坝理县桃坪羌寨尔玛酒家,四川,阿坝,桃坪羌寨,二星及其他,客栈,20,4.296579838,7,34.06,27,52,20,31,26,51,19,30,4,0.1538,34147.0,0.079
92,阿坝茂县新家园度假酒店,四川,阿坝,坪头羌寨,二星及其他,客栈,35,4.631279945,106,34.06,48,74,25,38,32,48,20,30,4,0.125,34147.0,0.079
93,阿坝318连锁汽车旅馆红原店,四川,阿坝,毕棚沟,三星级/舒适,低星,101,4.103710175,102,34.06,1,4,1,1,1,1,1,1,0,0.0,34147.0,0.079
94,阿坝古尔沟藏蓬山庄,四川,阿坝,古尔沟,二星及其他,客栈,20,3.806050062,6,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
95,阿坝四姑娘山回来客栈,四川,阿坝,四姑娘山,二星及其他,低星,10,4.383080006,11,34.06,9,23,4,7,7,20,4,7,3,0.4286,34147.0,0.079
96,九寨沟天堂甲蕃古城酒店,四川,阿坝,甘海子漳扎镇,四星级/高档,OTA,500,3.096220016,67,34.06,3,5,2,3,1,1,1,1,0,0.0,34147.0,0.079
97,九寨沟格桑花客栈梦幻店,四川,阿坝,漳扎镇,二星及其他,客栈,30,4.064859867,298,34.06,4,5,2,3,3,4,1,2,1,0.3333,34147.0,0.079
98,九寨人家老房子客栈,四川,阿坝,九寨沟县城,二星及其他,客栈,20,4.400000095,49,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
99,阿坝州茂县尔玛国际酒店,四川,阿坝,坪头羌寨,三星级/舒适,低星,99,3.628060102,205,34.06,80,129,45,71,47,82,29,49,5,0.1064,34147.0,0.079
100,阿坝州茂县国际饭店,四川,阿坝,坪头羌寨,四星级/高档,OTA,295,4.382460117,316,34.06,43,109,27,72,1,1,1,1,0,0.0,34147.0,0.079
101,四姑娘山阿拉主客栈,四川,阿坝,四姑娘山,二星及其他,客栈,30,4.215149879,11,34.06,12,13,1,1,12,13,1,1,4,0.3333,34147.0,0.079
102,阿坝雄师山庄,四川,阿坝,漳扎镇,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
103,四姑娘山雪莲山庄,四川,阿坝,四姑娘山,二星及其他,低星,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
104,九寨沟赵家大院农家乐,四川,阿坝,九寨沟沟口,二星及其他,客栈,40,3.53553009,0,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
105,理县吉祥谷国际大酒店,四川,阿坝,毕棚沟,三星级/舒适,低星,98,4.018680096,283,34.06,57,103,28,48,37,65,18,28,4,0.1081,34147.0,0.079
106,松潘嘉绒鑫宫藏文化酒店,四川,阿坝,黄龙机场、川主寺,三星级/舒适,低星,124,4.174409866,258,34.06,15,18,8,11,4,4,2,2,1,0.25,34147.0,0.079
107,阿坝驿家青年客栈川主寺店,四川,阿坝,黄龙机场、川主寺,二星及其他,客栈,32,3.045759916,8,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
108,九寨沟鑫涛阁藏家客栈二号楼,四川,阿坝,九寨沟沟口,二星及其他,客栈,31,4.839069843,1079,34.06,162,238,105,147,156,229,104,146,0,0.0,34147.0,0.079
109,阿坝禹羌商务客栈,四川,阿坝,毕棚沟,二星及其他,客栈,20,4.12774992,13,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
110,德阳世纪缘宾馆,四川,阿坝,九寨沟沟口,二星及其他,低星,65,5.0,1,34.06,3,4,1,1,3,4,1,1,1,0.3333,34147.0,0.079
111,阿坝四姑娘山日月山庄,四川,阿坝,四姑娘山,二星及其他,客栈,15,4.625780106,35,34.06,74,153,34,86,65,141,34,86,2,0.0308,34147.0,0.079
112,九寨沟安多小院青年旅舍,四川,阿坝,漳扎镇,二星及其他,客栈,21,4.061789989,86,34.06,6,6,1,1,1,1,1,1,0,0.0,34147.0,0.079
113,阿坝阿佐客栈,四川,阿坝,漳扎镇,二星及其他,客栈,15,3.176419973,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
114,九寨沟县明朗华夏商务酒店,四川,阿坝,九寨沟县城,二星及其他,低星,27,3.733360052,10,34.06,2,2,1,1,2,2,1,1,0,0.0,34147.0,0.079
115,九寨沟卓玛青年旅舍,四川,阿坝,漳扎镇,二星及其他,客栈,32,4.029819965,143,34.06,79,99,50,63,75,94,48,61,6,0.08,34147.0,0.079
116,阿坝驿家客栈九寨沟3店,四川,阿坝,漳扎镇,二星及其他,客栈,26,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
117,九寨沟九寨人商务酒店,四川,阿坝,九寨沟沟口漳扎镇,二星及其他,低星,32,4.247620106,292,34.06,37,63,23,38,35,61,23,38,1,0.0286,34147.0,0.079
118,茂县峤联宾馆,四川,阿坝,坪头羌寨,二星及其他,低星,55,3.0,1,34.06,15,15,6,6,15,15,6,6,3,0.2,34147.0,0.079
119,理县聚鑫商务旅馆,四川,阿坝,毕棚沟,二星及其他,低星,18,3.895109892,2,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
120,九顶山国际大酒店,四川,阿坝,坪头羌寨,四星级/高档,OTA,350,3.991359949,741,34.06,80,158,47,99,1,1,1,1,0,0.0,34147.0,0.079
121,九寨沟精品国际青年旅舍,四川,阿坝,九寨沟沟口漳扎镇,二星及其他,客栈,21,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
122,九寨沟岷山宾馆,四川,阿坝,九寨沟沟口漳扎镇,二星及其他,客栈,30,4.38820982,421,34.06,23,37,15,25,16,26,10,16,3,0.1875,34147.0,0.079
123,阿坝红原家园酒店,四川,阿坝,毕棚沟,二星及其他,低星,100,3.901690006,92,34.06,3,3,3,3,2,2,2,2,0,0.0,34147.0,0.079
124,阿坝茂县爱佳商务旅店,四川,阿坝,坪头羌寨,二星及其他,低星,7,4.0,2,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
125,四姑娘山黑帐篷主题客栈,四川,阿坝,四姑娘山,二星及其他,客栈,15,4.659560204,150,34.06,61,119,24,32,34,54,24,32,5,0.1471,34147.0,0.079
126,九寨沟松竹梅主题酒店,四川,阿坝,九寨沟沟口漳扎镇,二星及其他,低星,55,3.909719944,51,34.06,10,11,6,6,10,11,6,6,4,0.4,34147.0,
127,瑟尔嵯国际大酒店,四川,阿坝,黄龙风景区,五星级/豪华,OTA,138,4.675089836,625,34.06,131,209,76,123,1,1,1,1,0,0.0,34147.0,
128,松潘川主寺岷江源大酒店迎宾楼,四川,阿坝,黄龙机场、川主寺,二星及其他,低星,50,2.241669893,14,34.06,1,1,1,1,1,1,1,1,1,1.0,34147.0,
129,九寨沟特区青年旅舍,四川,阿坝,漳扎镇,二星及其他,客栈,11,4.7459898,421,34.06,180,273,135,213,164,251,128,202,2,0.0122,34147.0,
130,阿坝坎珠玛藏家旅馆,四川,阿坝,漳扎镇,二星及其他,客栈,8,4.178919792,6,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,
131,川主寺福兴大酒店,四川,阿坝,黄龙机场、川主寺,二星及其他,低星,86,2.965329885,76,34.06,1,2,1,2,1,2,1,2,0,0.0,34147.0,
132,茂县尓绒客喜商务客栈,四川,阿坝,坪头羌寨,二星及其他,客栈,24,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,
133,若尔盖黄河第一湾大酒店,四川,阿坝,九曲黄河景区,五星级/豪华,OTA,400,3.954080105,1285,34.06,48,90,40,79,1,1,1,1,0,0.0,34147.0,
134,阿坝小金县同心宾馆,四川,阿坝,毕棚沟,三星级/舒适,低星,103,3.765889883,31,34.06,17,29,4,8,9,14,1,2,3,0.3333,34147.0,0.079
135,阿坝州松潘县黄河大酒店,四川,阿坝,松潘古城,三星级/舒适,低星,76,3.80821991,11,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
136,阿坝九寨沟旦增藏家客栈,四川,阿坝,九寨沟沟口,二星及其他,客栈,25,3.737169981,28,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
137,九寨沟瀚林阳光酒店,四川,阿坝,九寨沟县城,三星级/舒适,低星,74,4.332900047,38,34.06,9,10,2,2,9,10,2,2,1,0.1111,34147.0,0.079
138,九寨沟漳扎印象酒店,四川,阿坝,漳扎镇,二星及其他,低星,260,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
139,九寨沟德吉藏家客栈,四川,阿坝,漳扎镇,二星及其他,客栈,22,3.099999905,8,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
140,九寨沟幸福客栈,四川,阿坝,九寨沟沟口漳扎镇,二星及其他,客栈,45,3.904059887,110,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
141,九寨沟天上人间商务酒店,四川,阿坝,九寨沟沟口,二星及其他,低星,30,3.481750011,37,34.06,40,95,15,22,40,95,15,22,2,0.05,34147.0,0.079
142,九寨沟扎西德勒客栈,四川,阿坝,九寨沟沟口,二星及其他,客栈,19,4.515840054,139,34.06,43,65,28,40,40,60,28,40,0,0.0,34147.0,0.079
143,九寨沟东藏阳光宾馆,四川,阿坝,漳扎镇,二星及其他,低星,41,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
144,茂县羌寨人家,四川,阿坝,坪头羌寨,二星及其他,客栈,12,4.245279789,5,34.06,5,8,5,8,5,8,5,8,0,0.0,34147.0,0.079
145,九寨沟花间雅舍酒店漳扎镇店,四川,阿坝,漳扎镇,二星及其他,客栈,70,4.588240147,5,34.06,2,5,1,1,2,5,1,1,1,0.5,34147.0,0.079
146,小金四姑娘山明财山庄,四川,阿坝,四姑娘山,二星及其他,客栈,14,4.948050022,25,34.06,82,143,41,71,80,141,41,71,9,0.1125,34147.0,0.079
147,九寨沟凯悦假日酒店,四川,阿坝,漳扎镇,二星及其他,客栈,24,3.649369955,20,34.06,14,16,9,9,14,16,9,9,2,0.1429,34147.0,0.079
148,茂县羌龙商务酒店,四川,阿坝,坪头羌寨,二星及其他,低星,24,4.474520206,101,34.06,67,108,53,84,62,100,51,80,3,0.0484,34147.0,0.079
149,九寨沟老城故事青年客栈,四川,阿坝,漳扎镇,二星及其他,客栈,15,4.12996006,248,34.06,46,109,38,87,46,109,38,87,0,0.0,34147.0,0.079
150,四姑娘山鑫玥酒店,四川,阿坝,四姑娘山,二星及其他,低星,21,4.496779919,94,34.06,46,92,34,74,41,84,33,72,0,0.0,34147.0,0.079
151,四姑娘山红景天山庄,四川,阿坝,四姑娘山,二星及其他,客栈,20,5.0,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
152,阿坝红星旅馆,四川,阿坝,毕棚沟,二星及其他,低星,16,2.857140064,4,34.06,1,3,1,1,1,1,1,1,0,0.0,34147.0,0.079
153,九寨沟绿野青年客栈2号店,四川,阿坝,漳扎镇,二星及其他,客栈,10,4.493060112,142,34.06,5,10,1,3,3,6,1,3,0,0.0,34147.0,0.079
154,四姑娘山水晶湾度假酒店,四川,阿坝,四姑娘山,二星及其他,客栈,30,4.45979023,29,34.06,64,115,27,60,41,76,23,52,5,0.122,34147.0,0.079
155,九寨沟香榭客栈,四川,阿坝,漳扎镇,二星及其他,客栈,10,4.699999809,7,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
